"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"GIMAP7",-1.38729401858175,5.51830960421969,-10.0688302782484,1.08318385710809e-07,5.08273725616797e-06,8.07027915230519
"CEACAM1",-2.04381798478125,9.23244308711074,-10.0553033761061,1.10098342393622e-07,5.10889889900167e-06,8.05356849823474
"HEATR5A",-1.55582551753686,7.4133520418682,-10.0134253889416,1.15809064936643e-07,5.33899842875662e-06,8.00171588925535
"MT1HL1",-1.7318513728808,10.4145499158729,-10.0081807332019,1.16546169168604e-07,5.35585996926604e-06,7.99520944420134
"EGLN3",-2.27010893359006,6.93278416811802,-10.0072483445195,1.16677732557371e-07,5.35585996926604e-06,7.99405244188982
"MGLL",-1.72270552626328,8.85994005413548,-9.99600924636513,1.18276103652508e-07,5.38728369487514e-06,7.98009883759759
"GSKIP",-1.71356853205849,10.0946511473469,-9.98479702407705,1.19893889855622e-07,5.43033443608015e-06,7.96616572038478
"GALNT7",-1.14424676151292,8.78288465113348,-9.97710917732537,1.21016749851073e-07,5.44933563441438e-06,7.95660480364601
"MMP28",-1.60896535871747,5.677025517353,-9.96634477055377,1.2260780281951e-07,5.50933247310706e-06,7.94320756611834
"TSPAN7",-2.70314849487885,7.98980159389399,-9.9589934705064,1.23707157293422e-07,5.54702893303703e-06,7.93405139927654
"MT1E",-2.14770094624798,10.1635695884187,-9.95500556573057,1.2430791496496e-07,5.55108199321692e-06,7.92908207399336
"ACAA1",-1.28712330078484,8.56596878097161,-9.9549335020322,1.24318799510046e-07,5.55108199321692e-06,7.92899226043144
