"","logFC","logCPM","PValue","FDR"
"TCEAL2",-3.88139572802609,-0.00382317161528317,9.75004950336881e-50,2.80285090045433e-48
"SLC9A1",-1.39554697019508,6.23079382428457,9.80339254783376e-50,2.81562346148829e-48
"AGTR1",-3.47827672691608,0.393652607907832,9.98732321220609e-50,2.86584470702295e-48
"ABCD3",-1.07248665169381,6.1906825897296,1.19355373633022e-49,3.4191853025859e-48
"SGCE",-1.85967907164269,2.904412390899,1.19373322848487e-49,3.4191853025859e-48
"IGKV3OR2-268",-3.19612560132429,-0.751502973632003,1.21795798557992e-49,3.48541183319081e-48
"JAM3",-1.56531056057427,3.94115831759912,1.35660384061558e-49,3.87865928837718e-48
"HMCN2",-2.28419274921369,4.24558798857837,1.43621363650951e-49,4.10255853691183e-48
"SLC41A2",-1.56982078604608,4.38417903233298,1.63464477856453e-49,4.66516101980027e-48
"PCK1",-2.71975261222317,6.23754768704805,1.85293638531131e-49,5.28337718602349e-48
"EMP1",-1.81310392500644,7.09960301939764,2.06085681323071e-49,5.86564408111692e-48
"LRAT",-3.32107317117568,-1.46091903043778,2.14875319752424e-49,6.11031141038553e-48
"LGALS2",-2.69399531438188,3.43986262570382,2.29274047174395e-49,6.51389835645742e-48
"SPHKAP",-3.61686085117541,-3.40864483152606,2.39585755324486e-49,6.79464341828232e-48
"AL355355.2",-1.74176172202125,-2.22220832709752,2.54993297734861e-49,7.22511502720849e-48
"TMEM59",-1.07527793615495,8.2439419879109,2.5716927241463e-49,7.28024088117869e-48
"FOXN3",-1.27683266976733,5.55467113516711,2.62850107958128e-49,7.4343988010037e-48
"TMEM140",-1.2027394246943,3.95885619392697,3.16658526864275e-49,8.94029744345223e-48
"KLB",-2.11681390844297,-0.0239702766508735,3.24605101769394e-49,9.15647230375042e-48
"SLC22A4",-1.61229705564087,1.64008933489484,3.51836300210603e-49,9.91575756695235e-48
"FAM163B",-2.94708060552489,-1.30262192217271,4.63750519911021e-49,1.30349378786022e-47
"FGFR2",-2.26972119232323,4.30764583183835,4.82016531951814e-49,1.35363095946255e-47
"LRRN4CL",-1.8649120119866,1.57973392591486,5.04318054332841e-49,1.41500180200155e-47
"PLEKHO1",-1.62122264846639,4.76406133670051,5.37656467693654e-49,1.50586709076645e-47
"AARD",-2.52150751362073,-1.84187681238482,6.03538991581896e-49,1.68739888150857e-47
"HRCT1",-2.320869502544,3.18275180360358,7.40593353267483e-49,2.0650984827696e-47
"SIGLEC11",-2.21406843478099,-1.48174935417492,7.71916484084914e-49,2.15054298780377e-47
"LIMA1",-1.42934101015006,7.44382345439148,8.27085462586988e-49,2.30221242462649e-47
"AC006333.2",-1.27073646172551,2.52779661077882,9.74950503857921e-49,2.70426789011267e-47
"GPRASP1",-1.9124796343715,2.12611691778943,9.76195249394327e-49,2.7053453082557e-47
"NDN",-1.79095164346178,3.40015801342028,1.02197587299457e-48,2.82973564903745e-47
"CASQ1",-2.48009946761047,-1.75876919725098,1.26562416029698e-48,3.49518042799498e-47
"AL356270.1",-2.36678018488555,-2.71481952015282,1.32797400373797e-48,3.66416442795579e-47
"CHRDL1",-3.1654113385927,3.68096784031594,1.44652475197523e-48,3.98431181248068e-47
"IL6R-AS1",-2.21866492597849,-2.90043365663195,1.58220920643269e-48,4.35424524902682e-47
"LPCAT3",-1.19525910320253,4.49683722271389,1.78486517226468e-48,4.90341264237895e-47
"BTBD3",-1.15388832917317,5.37690369350846,2.53870229364086e-48,6.93816795527645e-47
"BEND4",-2.63465088224725,-1.69554730413356,2.93438204705795e-48,7.99878619609161e-47
"EYA2",-2.78272786893397,2.35498723962866,3.36734267888472e-48,9.16317461274806e-47
"AOC1",-1.79217951296738,8.06527016065718,3.85906117168362e-48,1.04741683502578e-46
"MPC1",-1.23628305584809,5.23396263627997,4.17701537872329e-48,1.13177055626076e-46
"FMN2",-3.41923748140484,0.0749050331547515,4.73141844994787e-48,1.27979197850345e-46
"AL662860.1",-3.19493314560707,-3.04159082671852,5.61282860329647e-48,1.51690414083786e-46
"RAVER2",-1.11411564459292,5.51317136814777,5.82358651852464e-48,1.5725176827329e-46
"COL21A1",-2.2289914625749,0.446558965601147,6.19121870713288e-48,1.67036014188257e-46
"GINM1",-1.03797320383341,5.03540999418992,6.28685334147427e-48,1.69471465543683e-46
"HMOX1",-1.58296785117394,5.01598126064891,6.62751483552406e-48,1.78502196247836e-46
"PLA2G5",-2.47338793537248,0.36343751404412,6.87788820362094e-48,1.85087838174614e-46
"MT1DP",-2.38262971177704,-2.01511966991108,8.18059200557446e-48,2.19956972963501e-46
"SLC52A1",-2.55963814358492,0.632169216817497,8.30887906266093e-48,2.23216340328781e-46
"LIFR-AS1",-2.34922054723842,-2.24481120756362,8.52937700364832e-48,2.28945291143807e-46
"CAPN5",-1.38320085403339,7.47518143659997,8.73500576361734e-48,2.34265736069578e-46
"KCNK3",-2.93758572432727,0.365946370014438,9.94355894795663e-48,2.6645195745784e-46
"LINC01954",-2.95348882266315,-2.58162511634528,1.03122031236558e-47,2.75862348252039e-46
"AC004147.4",-3.51642401333432,-3.64057868776669,1.13824029672832e-47,3.03976548559067e-46
"APOBEC3A",-2.53296135450474,0.132387804143736,1.36153275138406e-47,3.62688905686986e-46
"CASC18",-2.7173231023818,-2.57372516630668,1.45577758225442e-47,3.87141255523266e-46
"EPAS1",-1.20211128745152,7.24204494096534,1.84992806990277e-47,4.91545647707638e-46
