"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"RNASEH2A",1.27205678343892,6.69882015047376,7.66314207069805,1.30852842974383e-06,4.81395341848727e-05,5.61963594684321
"PHLDA2",1.46443690653898,7.40342826534631,7.64259573162939,1.35239201918835e-06,4.94634098513237e-05,5.58656695595897
"TGDS",1.11628965800945,6.56857209875033,7.63295039906345,1.37351345084675e-06,4.99449794597478e-05,5.57102279877453
"CDCA7",1.40055145581184,8.12627325315193,7.57782576607659,1.50105999965172e-06,5.2719396841122e-05,5.48193790924363
"PLS3",1.02123571865409,8.15505465096311,7.55422341369531,1.5594180185405e-06,5.35920490614154e-05,5.44366598411955
"MZT1",1.22553217871273,7.28238539650058,7.54744252265238,1.57662096088737e-06,5.38969735377032e-05,5.4326562356069
"SLC7A5",1.11812692553673,6.02404306897226,7.54287951925466,1.58830921949584e-06,5.40080992669012e-05,5.42524394311369
"DSCC1",1.49324247607036,5.40545975782018,7.52318210004608,1.63981826138985e-06,5.49601721913509e-05,5.39321353237075
"HOMER1",1.54158204893752,4.06264613684902,7.429163684798,1.91098671312306e-06,6.14255046559487e-05,5.23958205991696
"TRIB3",1.3982074183679,5.85677806954745,7.40423633304233,1.99050499321114e-06,6.33330271150761e-05,5.19864195846937
"MMP7",3.14655475214343,5.42072141470092,7.39945113099387,2.00616293488463e-06,6.33474641304964e-05,5.19077288956432
"FIGNL1",1.32148219777053,7.19243991045515,7.38972483108294,2.03838849757667e-06,6.36734423554795e-05,5.17476848943905
"BOP1",1.3688277709571,8.37992422036985,7.38695504850592,2.0476644508807e-06,6.3857297345677e-05,5.17020844880903
"FANCB",1.17762683738361,4.37012781631435,7.35378015352839,2.16227232400112e-06,6.61177946345538e-05,5.11550714648256
"TUBB3",1.6666340177185,7.079964379238,7.34545280017143,2.19208386345134e-06,6.64007199400752e-05,5.10175209390322
"MMP3",2.91106361686061,6.62955936078951,7.33849886195948,2.21730888546348e-06,6.66952288909335e-05,5.09025816733272
"SLC22A3",2.01219434784614,4.50306622411583,7.33430882760914,2.23265481846929e-06,6.66952288909335e-05,5.08332931976271
"GTF2F2",1.32412980818494,7.40468188900311,7.32341728477689,2.27306828998768e-06,6.72143081792902e-05,5.06530697378162
"NUFIP1",1.04906733893758,6.1151163213598,7.28355298415488,2.42765087994657e-06,7.06757835775479e-05,4.99920069105472
"TOMM34",1.31216051166009,6.85772121243139,7.27153563763126,2.47638357932761e-06,7.16515531493315e-05,4.97922860820333
"SRM",1.08405119687611,8.39943152485479,7.26186355691765,2.51635039881207e-06,7.24739695902509e-05,4.96313941995725
"CSE1L",1.30826819917995,8.59075176722459,7.25174093202216,2.55890398043974e-06,7.3251543123956e-05,4.94628663233512
"CAD",1.09047733105517,7.65292285110718,7.24199458124878,2.60058909678828e-06,7.43318607391563e-05,4.93004662491086
"CCT2",1.01074320231542,8.5368166226662,7.21070944651304,2.73927310349049e-06,7.65613840080225e-05,4.87782664612868
"PMAIP1",1.55492974394897,6.18961837490377,7.11258171067919,3.22682563664662e-06,8.54859179913865e-05,4.71313734913512
"ARID3A",1.26339319886673,7.01694961316385,7.08610830669749,3.37336997373938e-06,8.75217587126101e-05,4.66847293291668
"NXT1",1.13265302242347,8.38307441874513,7.07584395934775,3.43204959786528e-06,8.86777588825657e-05,4.65112876086481
"TRIM29",1.45048138733544,4.63772754446946,7.05205810827914,3.57217729498255e-06,9.12965149637603e-05,4.61087915213919
"PPRC1",1.01200270726185,7.10644918094544,7.03909549419989,3.65105378620584e-06,9.28087032617723e-05,4.58891043180099
"GPR180",1.04268520619759,6.38690541119187,7.01318028018829,3.81426466703885e-06,9.64368983467701e-05,4.54491838306947
"DIAPH3",1.24949854794298,5.27004558158984,7.01078791618589,3.82971194545966e-06,9.66976597917937e-05,4.54085244249808
"GPSM2",1.64580459145378,8.23850049765277,7.00943660797655,3.83846616177521e-06,9.67889539801846e-05,4.53855546797127
