"","logFC","logCPM","PValue","FDR"
"PHKA1",1.2901382659368,4.22602743196739,1.94398566192234e-19,1.33659062061181e-18
"FAM92A1P1",1.76068294151658,-1.36309678632283,1.98750010840851e-19,1.36621172595626e-18
"LINC01169",5.55034315538883,-1.09336756394065,2.03831518639355e-19,1.39992373225503e-18
"GINS2",1.10447247889153,4.97963933765228,2.04036941423821e-19,1.40103001312819e-18
"XPOTP1",1.84275359752468,-2.15647355025556,2.07763971400384e-19,1.42600198749779e-18
"NEB",2.73073843260603,1.83961291551594,2.0864517230361e-19,1.4317391243675e-18
"PA2G4P4",1.64776915236257,-1.17503633508169,2.13870050955064e-19,1.46727394567282e-18
"AC006970.1",3.33145490087688,-1.54811674557026,2.17385816228513e-19,1.49042319707192e-18
"AP003031.1",2.79069115369144,-3.04466722734595,2.31798369752303e-19,1.58717076193856e-18
"AC245884.8",1.61615152765607,-0.0713616239893275,2.40864940001037e-19,1.64746612891378e-18
"CCDC85B",1.87025259192422,5.28563117172842,2.43745798693686e-19,1.66644904092829e-18
"LRRC46",1.34546958667341,-0.366585301773469,2.43827577919821e-19,1.66664748360469e-18
"RF00569",1.79668579441715,-2.5484606973149,2.44539159253906e-19,1.6707884209145e-18
"AP000553.2",2.64350333494977,-2.52311479255889,2.47308752501564e-19,1.68898085122826e-18
"CEP250",1.03457430073052,5.8732421379179,2.56660471848421e-19,1.74982181422252e-18
"EIF2S2P4",1.5815788100674,-0.422423798269983,2.57389703946964e-19,1.75441486878025e-18
"SIX4",2.61148105992334,0.823021241838702,2.62032638838575e-19,1.78529160207615e-18
"AL353796.1",1.21579056015735,1.03574353857551,2.68585823605629e-19,1.82954547761376e-18
"SNORD46",2.27158621968155,-1.61673055442012,2.70769232149507e-19,1.84362335157314e-18
"PPP1R14BP2",3.62655299197853,-1.38847338586004,2.73717239404422e-19,1.86289287904005e-18
"MYH16",2.75619135176493,-0.771080081757459,2.78099053648711e-19,1.89189995734792e-18
"CDC20",1.18861472073888,6.33036623666288,2.82890000606992e-19,1.92325022362313e-18
"RNU6-403P",4.00031327293904,-3.02426057223379,2.91545458165007e-19,1.98081627092625e-18
"RPS2",1.12870583310347,10.7438946651026,2.93882000276445e-19,1.99540383295373e-18
"HNRNPA1P48",1.14711490821898,2.43518351337242,3.00779918014699e-19,2.04180059085483e-18
"SULT1C2",2.50200791045589,3.67514530355068,3.03733861194795e-19,2.06096732747576e-18
"COL9A3",3.11634631292059,4.85282112933483,3.19541992953935e-19,2.16544190977985e-18
"RPS6P25",2.75690143850965,1.11189071908203,3.44660089931546e-19,2.33265771662539e-18
